id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,,2025-06-19 03:13:33+00:00,thesource.com,The Source |Stefon Diggs Hints at Latin Love Diving into Bachata for Cardi B,,,,,,https://thesource.com/2025/06/18/stefon-diggs-hints-at-latin-love-diving-into-bachata-for-cardi-b/,Stefon Diggs Hints at Latin Love Diving into Bachata for Cardi B,,https://thesource.com/wp-content/uploads/2025/06/Screen-Shot-2025-06-18-at-2.06.03-PM.png,,,2025-06-19 01:57:55.230753
,,2025-06-19 01:25:30+00:00,Star Weekly,[READER COMPETITION] - Win Circus Latino Family passes in Sunshine | Star Weekly,,,,,,https://starweekly.com.au/blog/2025/06/19/reader-competition-win-circus-latino-family-passes-in-sunshine/,... Latino a unique and entertaining experience for all. For your chance to win a family pass simply fill in your Email and click CONTINUE>. Email ...,,https://starweekly.com.au/wp-content/uploads/2025/06/Circus-latino-2.png,,,2025-06-19 15:04:43.373479
,,2025-06-19 00:47:05+00:00,Latin Times,"Latin Music Festival Season: Your Ultimate Guide to Food, Drinks, and Entertainment",,,,,,https://www.latintimes.com/latin-music-festival-season-your-ultimate-guide-food-drinks-entertainment-585301,"Latin music festivals have grown beyond basic concert experiences. They've transformed into cultural gatherings where music plays alongside food exploration, drinks, and community connections. You enjoy performances while tasting authentic foods, trying new drinks, and soaking in Latino traditions.",,https://d.latintimes.com/en/full/579410/latin-music-festival-season.jpg,,,2025-06-18 22:01:06.350181
,,2025-06-18 23:04:28+00:00,95.5 WSB,Nezza's anthem in Spanish at Dodger Stadium ignites debate over team's immigrant support,,,,,,https://www.wsbradio.com/entertainment/nezzas-spanish/ZUIMZMZH4BCBNLJMO3QPFA7YDI/,"After Latin pop and R&B singer Nezza's viral controversial performance at Dodger Stadium, Dodgers fans have grown frustrated over the team’s lack of vocal support for local immigrant communities impacted by the rise of U.S. Immigration and Customs Enforcement arrests and raids",,https://cmg-cmg-rd-20021-prod.cdn.arcpublishing.com/resizer/v2/https%3A%2F%2Fcloudfront-us-east-1.images.arcpublishing.com%2Fcmg%2FGSB6QKJ35D46LNGITZOH3WO564.jpg?auth=e3c3dfff502d807101ffc7d009fea65e86321fb476b26f0682b47ab2d22ebc84&width=1200&height=630&smart=true,,,2025-06-19 01:57:55.230753
,,2025-06-18 22:10:00+00:00,Yahoo News,"Latin music icon Bad Bunny records ICE operations, calls agents ‘sons of b-------’",,,,,,https://news.yahoo.com/latin-music-icon-bad-bunny-200031768.html,"Latin music star Bad Bunny condemned ICE agents in Puerto Rico as immigration enforcement there intensifies under Trump, with 445 people detained since January.",,https://s.yimg.com/ny/api/res/1.2/S_I_OLKT3E3M7jPew047JQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/fox_news_text_979/abf38e9b1d17258f9912c10e8963f2f0,,,2025-06-18 19:05:10.868104
,,2025-06-18 21:58:06+00:00,De Último Minuto,Ozuna breaks the Hot Song record in Latin America | De Último Minuto English,,,,,,https://deultimominuto.net/en/entertainment/ozuna-breaks-the-hot-song-record-in-latin-america/,"""The Little Mermaid"" reaches #1 in eight countries simultaneously: Colombia, Argentina, Chile, Bolivia, Paraguay, Uruguay, Ecuador, and Peru. | De Último",,https://cdn.deultimominuto.net/en/wp-content/uploads/sites/2/2025/06/4fdd2e19-075f-48b8-8a52-cdffa164dabf-e1750283153547.jpg,,,2025-06-18 19:05:10.868104
,,2025-06-18 21:46:12+00:00,Montgomery Community Media,June 20–22 Weekend Roundup of Things To Do in Montgomery County,,,,,,https://www.mymcmedia.org/june-20-22-weekend-roundup-of-things-to-do-in-montgomery-county/,Discover 10 fun events in Montgomery County June 20–22—from concerts and kayaking to pizza nights and art shows.,,https://s38408.pcdn.co/wp-content/uploads/2025/06/Butterfly-exhibit-at-Brookside-Gardens-2025-1500x1000-1.jpg,,,2025-06-18 22:01:06.350181
,,2025-06-18 19:49:01+00:00,www.yogonet.com,Pragmatic Play signs Latin America content deal with Más 1x2 | Yogonet International,,,,,,https://www.yogonet.com/international/news/2025/06/18/108457-pragmatic-play-signs-latin-america-content-deal-with-mas-1x2,"Covers games, live dealer, and virtuals",,https://imagenesyogonet.b-cdn.net/data/imagenes/2025/06/17/76623/1750189695-pragmatic-play-mas-1x2-eng.jpg,,,2025-06-18 16:06:23.760616
,,2025-06-18 19:47:43+00:00,www.sortiraparis.com,SalsaNueva Paris: the Latin dance and solo school that rocks the 12th arrondissement (and the 20th),,,,,,https://www.sortiraparis.com/en/what-to-do-in-paris/sport-wellness/articles/329717-salsanueva-paris-the-latin-dance-and-solo-school-that-rocks-the-12th-arrondissement-and-the-20th,"At the crossroads of passion, movement and collective energy, SalsaNueva Paris is much more than a dance school: it's a truly sensory and social experience, designed for all adults who dream of dancing while having fun, without judgment. Located in the heart of the 12th and 20th arrondissements, the school offers classes in salsa, bachata, kizomba and solo dances such as heels, reggaeton, samba and afro. All in a friendly, dynamic atmosphere that already attracts over 500 students every week.",,https://cdn.sortiraparis.com/images/80/110361/1176070-campagne-34857-salsa-nueva-102.jpg,,,2025-06-18 19:05:10.868104
,,2025-06-18 19:44:56+00:00,www.theolympian.com,"Thurston County food safety inspections for June 18, 2025 | The Olympian",,,,,,https://www.theolympian.com/entertainment/restaurants/article308791025.html,Living & Entertainment. Restaurants · Home & Garden · Comics · Puzzles ... Latin food spot scores 55 red points. Here are Thurston food safety ...,,,,,2025-06-18 19:05:10.868104
