id,name,published,outlet,title,description,image,url,firstEyes
,Industry Narrative / Counter-Messaging,2025-09-05T14:07:08Z,LAist,Child safety groups demand mental health guardrails in response to California teen’s suicide after using ChatGPT,"This week, tech giant OpenAI announced new safety measures for kids.",https://scpr.brightspotcdn.com/dims4/default/4602998/2147483647/strip/true/crop/1020x536+0+58/resize/1200x630!/quality/90/?url=http%3A%2F%2Fscpr-brightspot.s3.us-west-2.amazonaws.com%2F2d%2Fcb%2F8d6ab44545dcbf730e47cf099a23%2Fchatgptgetty-1020x680.jpg,https://laist.com/news/child-safety-groups-demand-mental-health-guardrails-in-response-to-california-teens-suicide-after-using-chatgpt,2025-09-05T11:47:29.370656
,Industry Narrative / Counter-Messaging,2025-09-05T14:00:27Z,Brookline.News,"Town, school district join lawsuit against social media companies - Brookline.News","The lawsuit filed in late August joins more than 100 other municipalities and school districts in suing Facebook, Instagram, TikTok, Snapchat and Youtube, alleging that the platforms are harmful to young users.",https://brookline.news/wp-content/uploads/2025/09/shutterstock_2339442245-scaled.jpg,https://brookline.news/town-school-district-join-lawsuit-against-social-media-companies/,2025-09-05T11:47:29.370656
,Industry Narrative / Counter-Messaging,2025-09-05T03:23:38Z,hoodline.com,Arizona's Child Safety Department Faces Scrutiny After Tragic Deaths - Hoodline,Arizona Child Safety Department faces scrutiny after three girls ... San José Mineta International Airport Leads with Waymo's ...,,https://hoodline.com/2025/09/arizona-s-child-safety-department-faces-scrutiny-after-tragic-deaths-of-three-girls-phoenix-meeting-seeks-reform/,2025-09-05T11:47:29.370656
