id,name,published,outlet,title,description,image,url,firstEyes
,California,2025-04-11T04:09:38Z,KGET 17 News,Trump administration to refer Maine to Justice Department over transgender participation in sports,"PORTLAND, Maine (AP) — The deadline arrived Friday for Maine officials to reach a resolution with the U.S. Education Department over a finding that the state violated antidiscrimination laws by all…",https://www.kget.com/wp-content/uploads/sites/2/2025/04/67f90fa9738737.27873992.jpeg?w=1280,https://www.kget.com/national-news/ap-trump-administration-to-refer-maine-to-justice-department-over-transgender-participation-in-sports/,2025-04-11T11:25:31.047736
,California,2025-04-11T01:36:18Z,The Bakersfield Californian,States sue over Trump administration's sudden halt of pandemic relief aid for schools,Public officials in 16 states and the District of Columbia are suing the Trump administration to restore access to federal pandemic relief funding for schools. A coalition led by New,https://bloximages.newyork1.vip.townnews.com/bakersfield.com/content/tncms/custom/image/d09180fc-6bee-11e7-8b72-ff928e2e17d5.png?resize=600%2C315,https://www.bakersfield.com/ap/national/states-sue-over-trump-administrations-sudden-halt-of-pandemic-relief-aid-for-schools/article_4994bcb9-14a5-5e18-8ba8-823563150fcb.html,2025-04-11T11:25:31.047736
,California,2025-04-10T22:39:10Z,The Bakersfield Californian,States sue over Trump administration's sudden halt of pandemic relief aid for schools,Public officials in 16 states and the District of Columbia are suing the Trump administration to restore access to federal pandemic relief funding for schools. A coalition led by New,https://bloximages.newyork1.vip.townnews.com/bakersfield.com/content/tncms/custom/image/d09180fc-6bee-11e7-8b72-ff928e2e17d5.png?resize=600%2C315,https://www.bakersfield.com/ap/national/states-say-trump-administrations-sudden-halt-of-pandemic-relief-aid-for-schools-will-harm-students/article_4994bcb9-14a5-5e18-8ba8-823563150fcb.html,2025-04-11T11:25:31.047736
,California,2025-04-10T17:17:12Z,The Bakersfield Californian,Trump administration freezes $1.8 billion for Cornell and Northwestern,WASHINGTON (AP) — The Trump administration has frozen more than $1 billion in federal funding for Cornell University and about $790 million for Northwestern University while the government investigates alleged,https://bloximages.newyork1.vip.townnews.com/bakersfield.com/content/tncms/assets/v3/editorial/b/48/b48ee468-3cbc-5610-bd69-9cad7c4d0f0e/67f5ff9e95ce5.image.jpg?crop=1763%2C926%2C0%2C124&resize=1200%2C630&order=crop%2Cresize,https://www.bakersfield.com/ap/news/trump-administration-freezes-1-8-billion-for-cornell-and-northwestern/article_c1d2660d-ea77-5752-874f-232fef09bebd.html,2025-04-11T11:25:31.047736
,Early Childhood Education,2025-04-11T15:08:10Z,www.fastcompany.com,How the Head Start layoffs could make childcare less affordable and safe for all families,"... early childhood education. First, there was Trump's proposed freeze on federal grants and loans, which was not intended to impact Head Start ...",,https://www.fastcompany.com/91314832/how-the-head-start-layoffs-will-affect-childcare-for-all-families,2025-04-11T11:25:31.047736
,Early Childhood Education,2025-04-11T14:16:11Z,India Development Review,Using technology to support early childhood education,Vipla Foundation’s experience demonstrates the role tech can play in strengthening early childhood education interventions.,https://idronline.org/wp-content/uploads/2025/04/BMC-Teacher-Image-1-1-1.webp,https://idronline.org/article/technology/using-technology-to-support-early-childhood-education/,2025-04-11T11:25:31.047736
,Early Childhood Education,2025-04-11T10:31:18Z,Bellefontaine Examiner,Week of the Young Child celebrated at Head Start,"Week of the Young Child was recognized this week at Head Start of Bellefontaine with a visit from Mayor David Crissman during a Fam Jam family engagement event Wednesday, April 9.  Crissman present…",https://i0.wp.com/examiner.org/wp-content/uploads/2025/04/Head-Start-mayor-visit.jpg?fit=1200%2C684&ssl=1,https://examiner.org/week-of-the-young-child-celebrated-at-head-start/,2025-04-11T11:25:31.047736
,Early Childhood Education,2025-04-11T10:18:58Z,The Gilmer Mirror,Save The Date April 25: Southern Regional Briefing for National Early Childhood Education Report,"The National Institute for Early Education Research at the Rutgers Graduate School of Education, New Brunswick, NJ, supports early childhood education ...",http://media.iadsnetwork.com/facebookthumbnail/facebook.jpg,https://www.gilmermirror.com/2025/04/11/save-the-date-april-25-southern-regional-briefing-for-national-early-childhood-education-report/,2025-04-11T11:25:31.047736
,Early Childhood Education,2025-04-11T04:30:05Z,LAist,"California sees a boost in high school students completing college financial aid applications, state officials say","So far, about 24,000 more students have applied for help to pay for college compared to this time last year.",https://scpr.brightspotcdn.com/dims4/default/d0c2da5/2147483647/strip/true/crop/1916x1006+0+134/resize/1200x630!/quality/90/?url=http%3A%2F%2Fscpr-brightspot.s3.us-west-2.amazonaws.com%2F9c%2Ff7%2F2b37db93488caba21e0e767669f0%2Fscreen-shot-2024-05-31-at-1-44-25-pm.png,https://laist.com/news/education/california-boost-in-high-school-students-completing-financial-aid-applications-csac-fafsa-cadaa,2025-04-11T11:25:31.047736
