id,name,published,outlet,title,authors,category,market,categoryorder,articleorder,url,description,text,image,error,sentiment,firstEyes
,Affordability Crisis,2026-09-14 04:47:17+00:00,Brown Daily Herald,"Amid housing crisis, Providence completes 988 housing units, permits 726 units in FY26",,,,,,https://www.browndailyherald.com/article/ding-housing-report-20260914,Housing was a key issue in the 2026 mayoral primaries. ,,https://snworksceo.imgix.net/bdh/2690fe5f-75e0-4939-a4c6-cbc0b9df4743.sized-1000x1000.png?w=800&fit=crop&crop=faces%2Cedges&ar=16%3A9,,,2026-09-14 04:03:53.146990
,Affordability Crisis,2026-09-14 04:42:47+00:00,X (formerly Twitter),Rep. Jay Obernolte (@JayObernolte) on X,,,,,,https://x.com/i/status/2099252969376268563,"California’s housing affordability crisis continues to put homeownership out of reach for too many families. According to the California Association of Realtors, in the second quarter of 2026, just 19% of California households could afford the median-priced home in their community. Addressing this …",,https://pbs.twimg.com/profile_images/1889743596594618368/sve-KJsN_400x400.jpg,,,2026-09-14 04:03:53.146990
,Affordable Justice,2026-09-14 03:24:23+00:00,The Frederick News-Post ,Frederick City Council crafting its commitment to affordable housing,,,,,,https://www.fredericknewspost.com/news/economy_and_business/real_estate_and_development/frederick-city-council-crafting-its-commitment-to-affordable-housing/article_cf849965-0170-5a8a-b393-57a1c4a6b1c1.html,The Frederick City Council is discussing a proposed resolution to set the tone for future affordable housing policies.,,https://bloximages.newyork1.vip.townnews.com/fredericknewspost.com/content/tncms/assets/v3/editorial/8/d5/8d51a1f6-cd28-5851-b9b0-e8b876bc8122/68759c6ed1e11.image.png?resize=200%2C200,,,2026-09-14 03:03:50.460382
,Affordability Crisis,2026-09-14 00:19:59+00:00,YouTube,"Utah Gov. Spencer Cox says government needs to ""protect the public"" on AI",,,,,,https://www.youtube.com/watch?v=QeTu8PWWXyA,"Utah's Republican Gov. Spencer Cox told ""Face the Nation with Margaret Brennan"" that the government needs to come together to ""protect the public"" on AI, say...",,https://i.ytimg.com/vi/QeTu8PWWXyA/maxresdefault.jpg,,,2026-09-13 21:03:56.022436
,Affordability Crisis,2026-09-13 22:05:10+00:00,Inquirer.com,Philly food drive supports Chinese immigrants while raising awareness about SNAP cuts and a plan to tax the wealthy  ,,,,,,https://www.inquirer.com/news/philadelphia/asian-american-food-aid-philadelphia-20260913.html,The aid ,,https://www.inquirer.com/resizer/v2/PYTW3ICKSFCLPD25IGYATTQ22Y.jpg?auth=a258232d045c0389a13104bd39b9ee418331ba7cf80869c0ec5c9abf5493fd13&width=760&height=507&smart=true,,,2026-09-14 02:02:38.759441
,Affordability Crisis,2026-09-13 20:27:10+00:00,CBS News,"Full transcript of ""Face the Nation with Margaret Brennan,"" Sept. 13, 2026",,,,,,https://www.cbsnews.com/news/face-the-nation-full-transcript-09-13-2026/,"On this ""Face the Nation with Margaret Brennan"" broadcast, Michigan Senate candidate Abdul El-Sayed and Utah Gov. Spencer Cox join Weijia Jiang.",,https://assets3.cbsnewsstatic.com/hub/i/r/2026/09/13/df71bb03-6c61-4c1a-80a7-d3a72e465e73/thumbnail/1200x630/fcd4e7e5c75ce476712eec6d6c59c95a/1789327780323.png,,,2026-09-13 17:04:15.370629
,Affordability Crisis,2026-09-13 16:54:30+00:00,www.noradarealestate.com,"Mortgage Rates Today, September 13, 2026: 30-Year Refinance Rate Rises by 24 Basis Points",,,,,,https://www.noradarealestate.com/blog/mortgage-refinance-rates-today-september-13-2026/,"Mortgage rates today, Sept 13, 2026: 30-year fixed refinance hits 7.35%. Discover the causes and your best next steps.",,,,,2026-09-13 16:05:01.861537
,Affordability Crisis,2026-09-13 16:37:13+00:00,www.facebook.com,Gov. Spencer Cox (R-UT) says what worries him most about affordability in the U.S. “is ... - Facebook,,,,,,https://www.facebook.com/FaceTheNation/posts/gov-spencer-cox-r-ut-says-what-worries-him-most-about-affordability-in-the-us-is/1561960369306970/,Gov. Spencer Cox (R-UT) says what worries him most about affordability in the U.S. “is we have an entire generation of young people that aren't ...,,,,,2026-09-13 14:06:02.517966
,Affordability Crisis,2026-09-13 16:16:51+00:00,CBS News,"Transcript: Utah Gov. Spencer Cox on ""Face the Nation with Margaret Brennan,"" Sept. 13, 2026",,,,,,https://www.cbsnews.com/news/spencer-cox-utah-governor-face-the-nation-transcript-09-13-2026/,"The following is the transcript of the interview with Utah Gov. Spencer Cox, a Republican, that aired on ""Face the Nation with Margaret Brennan"" on Sept. 13, 2026.",,https://assets3.cbsnewsstatic.com/hub/i/r/2026/09/13/18c5b12e-fab8-4831-b84e-7bda5c103214/thumbnail/1200x630/14d6902217f495351fa2a88c4beb0847/1789315774840.png,,,2026-09-13 13:05:39.274286
,Access to Justice,2026-09-13 16:15:42+00:00,Vaquill News,MCBA EPPT Section Probate Court and Practice Updates at September Meeting,,,,,,https://news.vaquill.com/item/a220eeaf-5712-40d7-8aab-c06dcab0812b,"- The Maricopa County Bar Association's Estate Planning, Probate and Trust Law Section met on September 9, 2026, to discuss significant updates in probate court administration and compliance processes.
- Key changes include the elimination of probate examiners and reassignment of compliance responsibilities to judicial divisions, enhancing judicial discretion.
- The meeting also covered alternative technology solutions for probate administration and expanding access-to-justice programs, including a potential elder law litigation clinic.
- Upcoming events include the annual Meet the Probate Judicial Officers on September 23, 2026, and various continuing legal education programs aimed at improving practitioner skills.",,https://news.vaquill.com/og-image-16x9.png,,,2026-09-14 02:02:38.759441
