name,search,url
Policy,Immigration AND (Congress or Trump Administration),https://www.google.com/alerts/feeds/07456959579114045064/13351015032974113412
Human Rights,Immigration AND Human Rights ,https://www.google.com/alerts/feeds/07456959579114045064/6180273138993051756
Agencies,ICE OR CBP OR DHS,https://www.google.com/alerts/feeds/07456959579114045064/995658404115337734
Litigation,Immigration AND (Court or Litigation),https://www.google.com/alerts/feeds/07456959579114045064/16814882068218694597
